dataset,filename,emotion,length,path
tess,03_tess_fearful_128.wav,fearful,1.528390022675737,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/03_tess_fearful_128.wav
ravdees,01-1-songs_ravdees_happy_153.wav,happy,4.270975056689342,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/01-1-songs_ravdees_happy_153.wav
iemocap,04_iemocap_neutral_545.wav,neutral,0.8672562358276644,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_545.wav
ravdees,01-2-speech_ravdees_happy_163.wav,happy,3.2032199546485263,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/01-2-speech_ravdees_happy_163.wav
ravdees,01-1-songs_ravdees_calm_177.wav,calm,6.072789115646258,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_177.wav
emodb,0_emodb_fearful_3.wav,fearful,3.1812698412698412,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/0_emodb_fearful_3.wav
emodb,0_emodb_angry_105.wav,angry,2.2066666666666666,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/0_emodb_angry_105.wav
tess,03_tess_happy_332.wav,happy,1.889251700680272,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_332.wav
ravdees,01-1-songs_ravdees_calm_176.wav,calm,4.87156462585034,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_176.wav
iemocap,04_iemocap_sad_38.wav,sad,4.3,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_38.wav
iemocap,04_iemocap_happy_1018.wav,happy,2.152517006802721,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_1018.wav
ravdees,01-1-songs_ravdees_calm_18.wav,calm,5.405442176870748,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_18.wav
iemocap,04_iemocap_sad_928.wav,sad,2.7813151927437643,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_928.wav
iemocap,04_iemocap_happy_691.wav,happy,1.3164625850340137,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_691.wav
tess,03_tess_neutral_278.wav,neutral,1.9685260770975057,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/03_tess_neutral_278.wav
iemocap,04_iemocap_neutral_1469.wav,neutral,3.2602267573696144,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_1469.wav
iemocap,04_iemocap_happy_1443.wav,happy,7.911972789115646,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_1443.wav
tess,03_tess_angry_383.wav,angry,1.681360544217687,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/03_tess_angry_383.wav
ravdees,01-2-speech_ravdees_disgust_121.wav,disgust,4.304353741496598,/home/amr/Desktop/KayMo/datasets/kaymodb/disgust/01-2-speech_ravdees_disgust_121.wav
ravdees,01-1-songs_ravdees_fearful_127.wav,fearful,4.704716553287982,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/01-1-songs_ravdees_fearful_127.wav
tess,03_tess_angry_109.wav,angry,1.5063492063492063,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/03_tess_angry_109.wav
iemocap,04_iemocap_neutral_103.wav,neutral,1.9300226757369614,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_103.wav
iemocap,04_iemocap_angry_165.wav,angry,3.939954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_165.wav
ravdees,01-1-songs_ravdees_calm_141.wav,calm,4.337687074829932,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_141.wav
iemocap,04_iemocap_sad_1010.wav,sad,5.874149659863946,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_1010.wav
iemocap,04_iemocap_happy_1012.wav,happy,6.704943310657597,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_1012.wav
iemocap,04_iemocap_neutral_1690.wav,neutral,6.54,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_1690.wav
