dataset,filename,emotion,length,path,features
ravdees,01-1-songs_ravdees_angry_57.wav,angry,4.037369614512472,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/angry/01-1-songs_ravdees_angry_57.wav,0.33870306611061096 0.020613471046090126 2143.1308630919693 1572.149699836594 3968.4424212598424 0.25467904158464566 -491.1856994628906 10.458327293395996 -19.12985610961914 5.987013816833496 -23.321386337280273 -2.639356851577759 -19.80732536315918 -11.450446128845215 -10.260881423950195 -6.368370056152344 -11.546919822692871 -5.891634941101074 -9.799236297607422 -8.030829429626465 -10.395427703857422 0.1623673439025879 2.1824193000793457 12.246733665466309 12.230649948120117 11.933626174926758
ravdees,01-1-songs_ravdees_fearful_43.wav,fearful,4.6046258503401365,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/fearful/01-1-songs_ravdees_fearful_43.wav,0.3305116295814514 0.015047931112349033 1885.192823885497 1765.1288731279578 3836.2087673611113 0.12300618489583333 -519.2924194335938 30.130205154418945 -15.07575511932373 7.531074523925781 -15.825142860412598 -14.179791450500488 -16.73794937133789 -15.06283950805664 -4.866127014160156 -12.557011604309082 -4.571050643920898 0.5866696834564209 -6.244482040405273 8.676236152648926 0.0810106098651886 10.282035827636719 14.860692024230957 13.387187004089355 13.731484413146973 10.870074272155762
ravdees,01-1-songs_ravdees_angry_181.wav,angry,4.404399092970522,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/angry/01-1-songs_ravdees_angry_181.wav,0.4137747287750244 0.02096686139702797 1977.8388011500988 1839.0253549956124 4161.741394927536 0.14519998301630435 -485.8714904785156 28.693828582763672 -13.698031425476074 14.21298599243164 -21.481239318847656 3.1103146076202393 -3.5597784519195557 -11.608902931213379 -1.5322089195251465 -5.35764217376709 -3.858799695968628 0.9638123512268066 -3.4725749492645264 2.2282094955444336 0.5115872621536255 7.170660018920898 11.996149063110352 22.92851448059082 16.543386459350586 12.672788619995117
savee,02_savee_angry_2.wav,angry,4.223809523809524,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/angry/02_savee_angry_2.wav,0.41287416219711304 0.22103352844715118 1199.0130628807979 1321.7831600926772 2174.242424242424 0.0643606474905303 -245.51486206054688 66.29252624511719 14.304117202758789 23.87691879272461 -2.3280656337738037 -6.814933776855469 -18.458818435668945 -4.383757591247559 -11.178671836853027 -0.35133522748947144 -5.336702346801758 -1.9346930980682373 -3.344909191131592 3.790867328643799 -1.6631425619125366 4.59721040725708 -2.480552911758423 -0.9722759127616882 -4.244198799133301 -2.6956348419189453
ravdees,01-1-songs_ravdees_fearful_180.wav,fearful,4.471156462585034,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/fearful/01-1-songs_ravdees_fearful_180.wav,0.41902944445610046 0.010379641316831112 1827.3768534586395 1720.2114410458348 3619.8660714285716 0.15748465401785713 -549.1187133789062 23.385074615478516 -15.516092300415039 11.777518272399902 -11.123414993286133 -2.2571475505828857 -10.298026084899902 -12.091089248657227 -1.9834662675857544 -4.330802917480469 -8.085301399230957 0.7219794392585754 2.284672737121582 6.835608005523682 4.170577526092529 14.910040855407715 15.458186149597168 23.53354263305664 16.307891845703125 11.479079246520996
ravdees,01-2-speech_ravdees_sad_9.wav,sad,3.336689342403628,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/sad/01-2-speech_ravdees_sad_9.wav,0.4819644093513489 0.008718926459550858 2015.7770826914882 1882.644874677645 4051.785714285714 0.1805850074404762 -527.8905029296875 41.84922409057617 7.9229302406311035 9.83516788482666 -3.367655038833618 3.346905469894409 -8.73714828491211 -6.51168155670166 -12.539426803588867 0.13517509400844574 -4.532355785369873 -3.051039457321167 -3.754361629486084 3.7132346630096436 -4.331583023071289 -0.5695738196372986 -2.2734897136688232 1.4881597757339478 -3.6223013401031494 -0.7634180188179016
ravdees,01-2-speech_ravdees_disgust_26.wav,disgust,3.6369614512471657,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/disgust/01-2-speech_ravdees_disgust_26.wav,0.38530877232551575 0.002015423495322466 2101.3954642048784 1518.259808285254 3731.7023026315787 0.27944250274122806 -701.9563598632812 39.81507873535156 -0.6065928936004639 0.21222424507141113 -6.853851318359375 -4.915250778198242 -15.939729690551758 -4.710088729858398 -7.156332492828369 -5.054204940795898 -8.122720718383789 -0.8861887454986572 -6.030760288238525 -4.536508083343506 -8.18768310546875 -2.243628978729248 -7.318533897399902 -5.665417194366455 -6.207714557647705 -2.0782434940338135
ravdees,01-1-songs_ravdees_happy_136.wav,happy,4.070748299319728,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/happy/01-1-songs_ravdees_happy_136.wav,0.44565877318382263 0.008300578221678734 2368.1189571380078 1774.367714365529 4347.5341796875 0.30059051513671875 -569.983642578125 33.56745910644531 -22.448455810546875 10.72914981842041 -23.771385192871094 -10.67017936706543 -15.95089340209961 -4.86890983581543 -7.18149995803833 -9.459724426269531 -6.3659772872924805 -5.94230842590332 -5.302955627441406 -2.116774559020996 2.0597262382507324 7.686849594116211 6.208103179931641 12.042913436889648 11.294328689575195 5.694668769836426
savee,02_savee_disgust_31.wav,disgust,3.2900680272108844,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/disgust/02_savee_disgust_31.wav,0.41089046001434326 0.008082077838480473 680.4024244299702 1088.348200745801 1145.0242718446602 0.024527836771844662 -582.74609375 129.96791076660156 31.495555877685547 26.91170310974121 -5.861855983734131 -14.640820503234863 1.4767712354660034 -5.266257286071777 -12.182845115661621 -5.324469566345215 -6.6258015632629395 1.7488213777542114 -1.513704776763916 -2.0898373126983643 5.165139675140381 -3.967393636703491 -3.2864015102386475 3.6448757648468018 -4.057151794433594 -3.3119473457336426
savee,02_savee_neutral_57.wav,neutral,3.434285714285714,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/neutral/02_savee_neutral_57.wav,0.51176518201828 0.08721604198217392 823.2627184448097 1116.4043310596435 1580.367476851852 0.018147786458333332 -333.6275939941406 103.8583984375 29.613330841064453 31.59398651123047 -13.64509105682373 -7.23789644241333 -3.3401827812194824 -13.290718078613281 -4.967654228210449 1.2911341190338135 -6.169531345367432 -1.3829537630081177 -1.2014658451080322 7.145886421203613 -2.959775924682617 -2.2272634506225586 0.585451066493988 -3.0878801345825195 -1.6374626159667969 3.2476327419281006
